us_state	us_state_abbr	us_district	us_district_ordinal	lon	lat	minx	miny	maxx	maxy
Michigan	MI	13	13th	-83.0433485116	42.357641464	-83.202726	42.18494	-82.870347	42.451236
Michigan	MI	14	14th	-83.1856190321	42.3140086154	-83.28793	42.078942	-83.04051	42.447436
Michigan	MI	15	15th	-83.5264374743	42.0429748369	-83.799842	41.72355	-83.181475	42.349184
Minnesota	MN	5	5th	-93.292267172	44.9778835176	-93.426129	44.86165	-93.17692	45.124565
Mississippi	MS	2	2nd	-90.4282210384	33.1035541214	-91.3648087861	31.610068	-89.316407	34.891946
Mississippi	MS	3	3rd	-89.7502768155	32.079884635	-91.655009	30.998691	-88.3044167317	33.605775
Mississippi	MS	4	4th	-89.0433395858	31.1519470737	-89.938251	30.173943	-88.39398	32.2276665572
Missouri	MO	1	1st	-90.3141063971	38.7441255804	-90.49532	38.610551	-90.117707	38.891184
New York	NY	11	11th	-73.9546251323	40.6561141769	-74.001946	40.612713	-73.901136	40.695265
Missouri	MO	5	5th	-94.4184581903	38.9356201587	-94.6090495955	38.664343	-94.112991	39.197003
Nebraska	NE	2	2nd	-96.1199279956	41.2659680314	-96.47072	41.053299	-95.841288	41.393474
New York	NY	13	13th	-74.1384936482	40.583750891	-74.256088	40.496103	-73.965373	40.648601
Nevada	NV	1	1st	-115.179670519	36.226062666	-115.341821	36.086103	-115.019952	36.336405
New Hampshire	NH	2	2nd	-71.7233859199	43.7751587885	-72.557247	42.69699	-71.0102632395	45.305476
New York	NY	14	14th	-73.9487604415	40.7596413345	-73.99358	40.712816	-73.887746	40.800704
New Jersey	NJ	1	1st	-75.0647283257	39.7844067088	-75.448639	39.578641	-74.801195	40.0200952898
New Jersey	NJ	4	4th	-74.40872087	40.1225541338	-74.8985817319	39.854792	-74.0160170115	40.345709
New Jersey	NJ	5	5th	-74.663053709	41.0330442414	-75.20392	40.5921381743	-73.893979	41.357423
New Jersey	NJ	6	6th	-74.2473359552	40.419780827	-74.527099	40.165814	-73.971381	40.644502
New Jersey	NJ	7	7th	-74.7147472342	40.6032953922	-75.195114	40.375406	-74.23969	40.787703
New Jersey	NJ	8	8th	-74.2148536699	40.8758578726	-74.325993	40.735701	-74.106786	41.025097
New Jersey	NJ	9	9th	-74.0598680175	40.8474053491	-74.171588	40.731401	-73.9267734949	40.983553
New Jersey	NJ	10	10th	-74.2175348688	40.703731743	-74.331793	40.591903	-74.065485	40.824799
New Jersey	NJ	11	11th	-74.5435161708	40.8572023513	-74.889888	40.556103	-74.242091	41.085996
New York	NY	1	1st	-72.6753727117	40.9075474855	-73.30046	40.6454906854	-71.856214	41.2901220592
New York	NY	2	2nd	-73.2951653516	40.7946971932	-73.55267	40.6214371924	-73.037906	40.955297
New York	NY	3	3rd	-73.4735566163	40.7238981786	-73.705275	40.582804	-73.1678	40.9234776807
New York	NY	4	4th	-73.6447834413	40.6890640572	-73.767203	40.5836113119	-73.52587	40.7834
New York	NY	15	15th	-73.9370757202	40.8178836062	-74.000444657	40.774422	-73.867156	40.882078
New York	NY	5	5th	-73.7275086187	40.7866580256	-73.88573	40.711075	-73.57137	40.870099
New York	NY	16	16th	-73.9030316288	40.8313299487	-73.933406	40.79238	-73.871604	40.875649
New York	NY	7	7th	-73.846714784	40.816978036	-73.925011	40.720493	-73.7651278893	40.891078
North Carolina	NC	11	11th	-82.9617479266	35.4370987194	-84.321869	34.986592	-81.824184	36.084383
North Carolina	NC	12	12th	-80.4584435305	35.7356132439	-81.011124	35.100945	-79.690933	36.24835
North Carolina	NC	13	13th	-79.102361593	36.2763954147	-80.033194	35.701634	-78.254915	36.542838
North Dakota	ND	0	0th	-100.46931455	47.4463360346	-104.0489	45.935054	-96.554507	49.000687
New York	NY	8	8th	-73.9980715534	40.6740497483	-74.0473131531	40.57035	-73.959126	40.791761
Pennsylvania	PA	19	19th	-76.9360405164	39.9401539476	-77.533216	39.7198	-76.238676	40.328787
New York	NY	9	9th	-73.8702805655	40.6368159131	-73.978594	40.545175	-73.752798	40.755694
New York	NY	10	10th	-73.9181365296	40.6609441893	-73.99399	40.610134	-73.855516	40.708497
New York	NY	12	12th	-73.9447060844	40.6999701769	-74.025653	40.632931	-73.862097	40.747529
New York	NY	17	17th	-74.0023322099	41.0715237937	-74.234473	40.861879	-73.804945	41.195794
New York	NY	18	18th	-73.804335668	41.0761228667	-74.025084	40.879299	-73.6143910942	41.243559
New York	NY	21	21st	-74.231972408	42.7031458186	-74.763303	42.355017	-73.583749	43.113494
New York	NY	26	26th	-78.1591266462	42.9262938986	-78.945462	42.471216	-77.486875	43.311405
Ohio	OH	1	1st	-84.6506001809	39.2662942048	-84.820159	39.073238	-84.394141	39.478655
Ohio	OH	10	10th	-81.7780727046	41.409781246	-81.971262	41.313152	-81.450331	41.5064217656
Ohio	OH	11	11th	-81.5530521314	41.490607618	-81.724054	41.357954	-81.431938	41.631348
Ohio	OH	12	12th	-82.8364736316	40.177154908	-83.249613	39.904351	-82.364344	40.443906
Ohio	OH	14	14th	-81.0021909761	41.5711454519	-81.597845	41.118756	-80.518993	41.977523
Ohio	OH	16	16th	-81.7756630738	40.8647653023	-82.420272	40.555002	-81.086519	41.207583
Oregon	OR	3	3rd	-122.246185543	45.4322919255	-122.929151	45.146633	-121.679473	45.728437
Oregon	OR	4	4th	-123.214971378	43.4979228734	-124.552441	41.995096	-121.76735	44.793076
Oregon	OR	5	5th	-123.103478612	45.0179968798	-124.115848979	44.274761	-121.651714	45.783338
Pennsylvania	PA	1	1st	-75.211595294	39.9283367516	-75.417538	39.815312	-75.054316	40.070211
Pennsylvania	PA	2	2nd	-75.1833945784	40.0176080534	-75.264225	39.897313	-75.083817	40.11071
Pennsylvania	PA	8	8th	-75.1058258214	40.3329787475	-75.484057	40.048711	-74.721504	40.60858
Pennsylvania	PA	9	9th	-78.3184436217	40.2304294814	-79.902723	39.7200171393	-76.913396	40.939587
Pennsylvania	PA	10	10th	-76.167878677	41.4524382536	-77.36349	40.603502	-74.689516	42.001774
Rhode Island	RI	1	1st	-71.4147418901	41.7938471871	-71.799242	41.448596	-71.12057	42.018798
Rhode Island	RI	2	2nd	-71.6160426771	41.6228921611	-71.862772	41.146339	-71.3532666542	41.934098
Tennessee	TN	9	9th	-89.9704496244	35.0846705676	-90.310298	34.994193	-89.642782	35.261988
Texas	TX	7	7th	-95.5605022352	29.8215746814	-95.688765	29.648032	-95.370816	29.997234
Texas	TX	9	9th	-95.4924049096	29.6575874487	-95.715668	29.572198	-95.272113	29.737329
Louisiana	LA	5	5th	-92.0289738881	31.8910084745	-92.981464	30.219266	-90.90072	33.014398
New Jersey	NJ	12	12th	-74.584748376	40.3773053944	-75.070568	40.1836684595	-73.974481	40.631518
California	CA	3	3rd	-120.680683073	38.4042184039	-122.126482	37.832283	-119.542367	38.933324
Alabama	AL	1	1st	-87.7686073168	31.1183638214	-88.464425	30.221132	-86.688063	31.991355
Indiana	IN	2	2nd	-86.4866163656	41.1874783096	-87.028671	40.431005	-85.867695	41.760592
California	CA	29	29th	-118.195139868	34.1560177296	-118.3423	34.043411	-118.0286	34.267273
Florida	FL	1	1st	-86.528804863	30.694934468	-87.634938	30.280435	-85.43226	30.999594
Florida	FL	2	2nd	-84.4157016478	30.2241061157	-86.474049	29.2888802264	-82.758998	31.000888
Florida	FL	3	3rd	-81.7374632735	29.4287261553	-82.364428	28.449762	-81.218285	30.471637
Texas	TX	12	12th	-97.6752747164	32.9666814898	-98.066836	32.555351	-97.236092	33.434074
Texas	TX	16	16th	-106.344680942	31.8344303543	-106.645646	31.458171	-106.050287	32.002533
Texas	TX	30	30th	-96.7561313133	32.6769536076	-96.959282	32.545282	-96.529951	32.869727
Utah	UT	2	2nd	-110.871482448	38.5803044358	-114.052962	36.997968	-109.041058	41.002059
Utah	UT	3	3rd	-112.551527564	39.1378397262	-114.050485	38.147334	-110.857697	40.728163
Vermont	VT	0	0th	-72.662716484	44.0751820987	-73.43774	42.726853	-71.464555	45.016659
Virginia	VA	1	1st	-76.9912128019	37.9333795061	-78.02788	37.018447	-76.236725	38.811982
Virginia	VA	2	2nd	-75.8250419489	37.3770778699	-76.391568	36.550553	-75.242266	38.027209
Virginia	VA	3	3rd	-76.9943412714	37.2835636442	-77.514908	36.786048	-76.209659	37.626883
Virginia	VA	4	4th	-77.3262315992	36.9724439511	-78.24074	36.543815	-76.065553	37.691597
Virginia	VA	5	5th	-78.8538123683	37.1871717477	-80.235455	36.540738	-77.655841	38.475508
Virginia	VA	6	6th	-79.301974378	38.0613974717	-80.229489	37.137036	-78.300544	39.102538
Virginia	VA	7	7th	-77.9268669941	38.1346215828	-78.691145	37.354785	-77.10796	38.862001
Virginia	VA	8	8th	-77.1592698	38.8433022509	-77.393008	38.707615	-77.031698	39.003109
Washington	WA	7	7th	-122.363703683	47.5523523128	-122.539131	47.330253	-122.216232	47.769919
Illinois	IL	11	11th	-88.6429289624	41.2024965732	-89.857857	40.28092	-87.52535	41.631378
Massachusetts	MA	4	4th	-71.0297901756	41.8567221003	-71.419864	41.497448	-70.61646	42.367697
New York	NY	28	28th	-78.4789874696	43.2283453534	-79.0746784058	42.876358	-77.431047	43.376505
Michigan	MI	10	10th	-82.9225431935	43.2866238122	-83.467316	42.518597	-82.412965	44.070503
Wisconsin	WI	8	8th	-88.5698939569	45.1948705001	-90.044853	44.224857	-86.805415	46.2997499692
Missouri	MO	2	2nd	-90.7665380062	38.8957841317	-91.264287	38.446453	-90.109107	39.227233
Missouri	MO	3	3rd	-90.3834789411	38.1349329314	-90.780185	37.669628	-89.924811	38.668151
Missouri	MO	6	6th	-93.9116844998	39.8959385278	-95.774704	38.680013	-92.349975	40.597274
Nebraska	NE	3	3rd	-100.419345782	41.5796854741	-104.053514	40.001323	-96.912369	43.001708
Nevada	NV	2	2nd	-116.733917894	39.5014031759	-120.005746	35.4760185954	-114.039648	42.002207
New York	NY	29	29th	-77.7038927987	42.3815148227	-79.061287	41.997559	-76.535782	43.179662
Pennsylvania	PA	14	14th	-79.9278921317	40.4176091844	-80.17798	40.258278	-79.764868	40.527367
Ohio	OH	2	2nd	-83.6443401743	38.9830438542	-84.513643	38.596588	-82.785892	39.467518
